DIRECCION,DISTRITO,PROVINCIA,DEPARTAMENTO,colaboradores,lat,lon
AV. PARDO Y ALIAGA 683 - PISO 5,SAN ISIDRO,LIMA,LIMA,1,-12.0989209,-77.0346439
AV. PANAMERICANA N° 821,MANAZO,PUNO,PUNO,1,-16.5631717,-69.037233
AV. PANAMERICANA N° 719 - 721,VIRU,VIRU,LA LIBERTAD,1,-16.5631717,-69.037233
AV. PUENTE PIEDRA 322,PUENTE PIEDRA,LIMA,LIMA,1,-11.8660613,-77.0733936
AV. PROLONGACION EJERCITO N° 632,CERRO COLORADO,AREQUIPA,AREQUIPA,1,-13.5221428,-71.9901555
AV. PROLONGACION ARIOSTO MATELLINI MZ O LT 12URB. SANTA LEONOR.,CHORRILLOS,LIMA,LIMA,1,-12.1709478,-77.02126
AV. PROCERES DE LA INDEPENDENCIA N° 3491 (ANTES MZ. B1 LOTE 02 - AVP LOS PINOS),SAN JUAN DE LURIGANCHO,LIMA,LIMA,1,-12.0017252,-77.0084106
AV. PROCERES DE LA INDEPENDENCIA N° 1947 - MZ. Z LT. 23A - SJL,SAN JUAN DE LURGANCHO,LIMA,LIMA,1,-12.0459808,-77.0305912
AV. PROCERES DE LA INDEPENDENCIA NRO. 1698 URB. LAS FLORES DE LIMA LIMA SJL,SAN JUAN DE LURIGANCHO,LIMA,LIMA,1,-12.0017252,-77.0084106
AV. PROCERES DE LA INDEPENDENCIA 1857 URB. S. HILARION,SAN JUAN DE LURIGANCHO,LIMA,LIMA,1,-11.9875225,-77.0083375
"C. CHINCHON 980, SAN ISIDRO 15046",SAN ISIDRO,LIMA,LIMA,1,-12.0956413,-77.0323842
"BOULEVARD SUR PLAZA, KILOMETRO 97.5 DE LA CARRETERA PANAMERICANA SUR, BLOCK N LOCAL 1 – ASIA",ASIA,CANETE,LIMA PROVINCIAS,1,-12.8033662,-76.4899568
"BARRIO MEDICO CHACARRUMI LT16, BARRIO CHACARRUMI",SAN MARCOS,HUARI,ANCASH,1,-9.5241213,-77.1572073
"AVENIDA VENEZUELA 2411, CERCADO DE LIMA",CERCADO DE LIMA,LIMA,LIMA,1,-12.0499601,-77.0291376
"AVENIDA RICARDO NAVARRETE 395, SAN ISIDRO",SAN ISIDRO,LIMA,LIMA,1,-12.0928317,-77.0268281
AVENIDA REVOLUCION 1845 - VES,VILLLA EL SALVADOR,LIMA,LIMA,1,-12.2006957,-76.9443659
AVENIDA MICAELA BASTIDAS N° 327 (P4),WANCHAQ,CUZCO,CUZCO,1,-13.5293361,-71.9552876
"AVENIDA AVIACION 4995, SURCO",SURCO,LIMA,LIMA,1,-12.1242239,-76.9993877
"AVENIDA 26 DE NOVIEMBRE N°1908 MZ Y LOTE 31, PUEBLO JOVEN VIRGEN DE LOURDES, AAHH NUEVA ESPERANZA",VILLA MARIA DEL TRIUNFO,LIMA,LIMA,1,-12.1766438,-76.9189677
